nohup: ignoring input
Appended row: {'timestamp': '2025-04-23 19:54:20', 'price_usd': 93606, 'market_cap_usd': 1858660302322.256, 'price_change_pct': -9e-05}
Appended row: {'timestamp': '2025-04-23 19:55:20', 'price_usd': 93606, 'market_cap_usd': 1858660302322.256, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 19:56:20', 'price_usd': 93605, 'market_cap_usd': 1858660302322.256, 'price_change_pct': -1e-05}
Appended row: {'timestamp': '2025-04-23 19:57:20', 'price_usd': 93618, 'market_cap_usd': 1858643268245.5742, 'price_change_pct': 0.00014}
Appended row: {'timestamp': '2025-04-23 19:58:21', 'price_usd': 93628, 'market_cap_usd': 1858643268245.5742, 'price_change_pct': 0.00011}
Appended row: {'timestamp': '2025-04-23 19:59:21', 'price_usd': 93628, 'market_cap_usd': 1858643268245.5742, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 20:00:22', 'price_usd': 93675, 'market_cap_usd': 1858643268245.5742, 'price_change_pct': 0.0005}
Appended row: {'timestamp': '2025-04-23 20:01:22', 'price_usd': 93691, 'market_cap_usd': 1860131775120.3352, 'price_change_pct': 0.00017}
Appended row: {'timestamp': '2025-04-23 20:02:24', 'price_usd': 93696, 'market_cap_usd': 1860131775120.3352, 'price_change_pct': 5e-05}
Appended row: {'timestamp': '2025-04-23 20:03:24', 'price_usd': 93710, 'market_cap_usd': 1860131775120.3352, 'price_change_pct': 0.00015}
Appended row: {'timestamp': '2025-04-23 20:04:24', 'price_usd': 93710, 'market_cap_usd': 1860131775120.3352, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 20:05:25', 'price_usd': 93717, 'market_cap_usd': 1860131775120.3352, 'price_change_pct': 7e-05}
Appended row: {'timestamp': '2025-04-23 20:06:25', 'price_usd': 93674, 'market_cap_usd': 1860131775120.3352, 'price_change_pct': -0.00046}
Appended row: {'timestamp': '2025-04-23 20:07:25', 'price_usd': 93656, 'market_cap_usd': 1860131775120.3352, 'price_change_pct': -0.00019}
Appended row: {'timestamp': '2025-04-23 20:08:25', 'price_usd': 93644, 'market_cap_usd': 1860131775120.3352, 'price_change_pct': -0.00013}
Appended row: {'timestamp': '2025-04-23 20:09:26', 'price_usd': 93641, 'market_cap_usd': 1860131775120.3352, 'price_change_pct': -3e-05}
Appended row: {'timestamp': '2025-04-23 20:10:26', 'price_usd': 93641, 'market_cap_usd': 1860131775120.3352, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 20:11:26', 'price_usd': 93626, 'market_cap_usd': 1860131775120.3352, 'price_change_pct': -0.00016}
Appended row: {'timestamp': '2025-04-23 20:12:26', 'price_usd': 93597, 'market_cap_usd': 1860131775120.3352, 'price_change_pct': -0.00031}
Appended row: {'timestamp': '2025-04-23 20:13:27', 'price_usd': 93584, 'market_cap_usd': 1858147390145.4116, 'price_change_pct': -0.00014}
Appended row: {'timestamp': '2025-04-23 20:14:27', 'price_usd': 93584, 'market_cap_usd': 1858147390145.4116, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 20:15:27', 'price_usd': 93551, 'market_cap_usd': 1858147390145.4116, 'price_change_pct': -0.00035}
Appended row: {'timestamp': '2025-04-23 20:16:28', 'price_usd': 93538, 'market_cap_usd': 1858147390145.4116, 'price_change_pct': -0.00014}
Appended row: {'timestamp': '2025-04-23 20:17:28', 'price_usd': 93524, 'market_cap_usd': 1858147390145.4116, 'price_change_pct': -0.00015}
Appended row: {'timestamp': '2025-04-23 20:18:28', 'price_usd': 93524, 'market_cap_usd': 1858147390145.4116, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 20:19:29', 'price_usd': 93530, 'market_cap_usd': 1856939713831.6213, 'price_change_pct': 6e-05}
Appended row: {'timestamp': '2025-04-23 20:20:29', 'price_usd': 93541, 'market_cap_usd': 1856939713831.6213, 'price_change_pct': 0.00012}
Appended row: {'timestamp': '2025-04-23 20:21:29', 'price_usd': 93541, 'market_cap_usd': 1856939713831.6213, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 20:22:29', 'price_usd': 93561, 'market_cap_usd': 1857410902950.2837, 'price_change_pct': 0.00021}
Appended row: {'timestamp': '2025-04-23 20:23:30', 'price_usd': 93586, 'market_cap_usd': 1857410902950.2837, 'price_change_pct': 0.00027}
Appended row: {'timestamp': '2025-04-23 20:24:30', 'price_usd': 93586, 'market_cap_usd': 1857410902950.2837, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 20:25:30', 'price_usd': 93568, 'market_cap_usd': 1857845638911.334, 'price_change_pct': -0.00019}
Appended row: {'timestamp': '2025-04-23 20:26:30', 'price_usd': 93509, 'market_cap_usd': 1857845638911.334, 'price_change_pct': -0.00063}
Appended row: {'timestamp': '2025-04-23 20:27:31', 'price_usd': 93476, 'market_cap_usd': 1857845638911.334, 'price_change_pct': -0.00035}
Appended row: {'timestamp': '2025-04-23 20:28:31', 'price_usd': 93476, 'market_cap_usd': 1857845638911.334, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 20:29:31', 'price_usd': 93440, 'market_cap_usd': 1855378110829.0442, 'price_change_pct': -0.00039}
Appended row: {'timestamp': '2025-04-23 20:30:32', 'price_usd': 93419, 'market_cap_usd': 1855378110829.0442, 'price_change_pct': -0.00022}
Appended row: {'timestamp': '2025-04-23 20:31:32', 'price_usd': 93419, 'market_cap_usd': 1855378110829.0442, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 20:32:32', 'price_usd': 93390, 'market_cap_usd': 1855378110829.0442, 'price_change_pct': -0.00031}
Appended row: {'timestamp': '2025-04-23 20:33:33', 'price_usd': 93392, 'market_cap_usd': 1854154927332.083, 'price_change_pct': 2e-05}
Appended row: {'timestamp': '2025-04-23 20:34:33', 'price_usd': 93394, 'market_cap_usd': 1854154927332.083, 'price_change_pct': 2e-05}
Appended row: {'timestamp': '2025-04-23 20:35:33', 'price_usd': 93394, 'market_cap_usd': 1854154927332.083, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 20:36:34', 'price_usd': 93417, 'market_cap_usd': 1854154927332.083, 'price_change_pct': 0.00025}
Appended row: {'timestamp': '2025-04-23 20:37:34', 'price_usd': 93443, 'market_cap_usd': 1855257665259.05, 'price_change_pct': 0.00028}
Appended row: {'timestamp': '2025-04-23 20:38:34', 'price_usd': 93455, 'market_cap_usd': 1855257665259.05, 'price_change_pct': 0.00013}
Appended row: {'timestamp': '2025-04-23 20:39:34', 'price_usd': 93455, 'market_cap_usd': 1855257665259.05, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 20:40:35', 'price_usd': 93481, 'market_cap_usd': 1855257665259.05, 'price_change_pct': 0.00028}
Appended row: {'timestamp': '2025-04-23 20:41:35', 'price_usd': 93493, 'market_cap_usd': 1856248180138.6003, 'price_change_pct': 0.00013}
Appended row: {'timestamp': '2025-04-23 20:42:35', 'price_usd': 93501, 'market_cap_usd': 1856248180138.6003, 'price_change_pct': 9e-05}
Appended row: {'timestamp': '2025-04-23 20:43:36', 'price_usd': 93562, 'market_cap_usd': 1856248180138.6003, 'price_change_pct': 0.00065}
Appended row: {'timestamp': '2025-04-23 20:44:36', 'price_usd': 93562, 'market_cap_usd': 1856248180138.6003, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 20:45:36', 'price_usd': 93571, 'market_cap_usd': 1857857570949.2249, 'price_change_pct': 0.0001}
Appended row: {'timestamp': '2025-04-23 20:46:36', 'price_usd': 93582, 'market_cap_usd': 1857857570949.2249, 'price_change_pct': 0.00012}
Appended row: {'timestamp': '2025-04-23 20:47:37', 'price_usd': 93591, 'market_cap_usd': 1857857570949.2249, 'price_change_pct': 0.0001}
Appended row: {'timestamp': '2025-04-23 20:48:37', 'price_usd': 93591, 'market_cap_usd': 1857857570949.2249, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 20:49:37', 'price_usd': 93620, 'market_cap_usd': 1857857570949.2249, 'price_change_pct': 0.00031}
Appended row: {'timestamp': '2025-04-23 20:50:37', 'price_usd': 93606, 'market_cap_usd': 1858837083928.688, 'price_change_pct': -0.00015}
Appended row: {'timestamp': '2025-04-23 20:51:38', 'price_usd': 93571, 'market_cap_usd': 1858837083928.688, 'price_change_pct': -0.00037}
Appended row: {'timestamp': '2025-04-23 20:52:38', 'price_usd': 93571, 'market_cap_usd': 1858837083928.688, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 20:53:38', 'price_usd': 93534, 'market_cap_usd': 1857242594878.155, 'price_change_pct': -0.0004}
Appended row: {'timestamp': '2025-04-23 20:54:39', 'price_usd': 93525, 'market_cap_usd': 1857242594878.155, 'price_change_pct': -0.0001}
Appended row: {'timestamp': '2025-04-23 20:55:39', 'price_usd': 93525, 'market_cap_usd': 1857242594878.155, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 20:56:40', 'price_usd': 93509, 'market_cap_usd': 1857242594878.155, 'price_change_pct': -0.00017}
Appended row: {'timestamp': '2025-04-23 20:57:40', 'price_usd': 93498, 'market_cap_usd': 1856608743127.941, 'price_change_pct': -0.00012}
Appended row: {'timestamp': '2025-04-23 20:58:40', 'price_usd': 93498, 'market_cap_usd': 1856608743127.941, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 20:59:41', 'price_usd': 93460, 'market_cap_usd': 1856608743127.941, 'price_change_pct': -0.00041}
Appended row: {'timestamp': '2025-04-23 21:00:41', 'price_usd': 93448, 'market_cap_usd': 1855549933637.4976, 'price_change_pct': -0.00013}
Appended row: {'timestamp': '2025-04-23 21:01:41', 'price_usd': 93448, 'market_cap_usd': 1855549933637.4976, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 21:02:41', 'price_usd': 93433, 'market_cap_usd': 1855549933637.4976, 'price_change_pct': -0.00016}
Appended row: {'timestamp': '2025-04-23 21:03:42', 'price_usd': 93425, 'market_cap_usd': 1855549933637.4976, 'price_change_pct': -9e-05}
Appended row: {'timestamp': '2025-04-23 21:04:42', 'price_usd': 93425, 'market_cap_usd': 1855549933637.4976, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 21:05:42', 'price_usd': 93393, 'market_cap_usd': 1855549933637.4976, 'price_change_pct': -0.00034}
Appended row: {'timestamp': '2025-04-23 21:06:43', 'price_usd': 93401, 'market_cap_usd': 1854348635227.467, 'price_change_pct': 9e-05}
Appended row: {'timestamp': '2025-04-23 21:07:43', 'price_usd': 93401, 'market_cap_usd': 1854348635227.467, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 21:08:43', 'price_usd': 93427, 'market_cap_usd': 1854348635227.467, 'price_change_pct': 0.00028}
Appended row: {'timestamp': '2025-04-23 21:09:43', 'price_usd': 93437, 'market_cap_usd': 1854348635227.467, 'price_change_pct': 0.00011}
Appended row: {'timestamp': '2025-04-23 21:10:44', 'price_usd': 93465, 'market_cap_usd': 1855212739964.2676, 'price_change_pct': 0.0003}
Appended row: {'timestamp': '2025-04-23 21:11:44', 'price_usd': 93465, 'market_cap_usd': 1855212739964.2676, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 21:12:44', 'price_usd': 93467, 'market_cap_usd': 1855212739964.2676, 'price_change_pct': 2e-05}
Appended row: {'timestamp': '2025-04-23 21:13:45', 'price_usd': 93466, 'market_cap_usd': 1855782116935.2983, 'price_change_pct': -1e-05}
Appended row: {'timestamp': '2025-04-23 21:14:45', 'price_usd': 93466, 'market_cap_usd': 1855782116935.2983, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 21:15:46', 'price_usd': 93393, 'market_cap_usd': 1855782116935.2983, 'price_change_pct': -0.00078}
Appended row: {'timestamp': '2025-04-23 21:16:46', 'price_usd': 93372, 'market_cap_usd': 1855782116935.2983, 'price_change_pct': -0.00022}
Appended row: {'timestamp': '2025-04-23 21:17:46', 'price_usd': 93372, 'market_cap_usd': 1855782116935.2983, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 21:18:47', 'price_usd': 93343, 'market_cap_usd': 1853631926436.6948, 'price_change_pct': -0.00031}
Appended row: {'timestamp': '2025-04-23 21:19:47', 'price_usd': 93235, 'market_cap_usd': 1853631926436.6948, 'price_change_pct': -0.00116}
Appended row: {'timestamp': '2025-04-23 21:20:47', 'price_usd': 93235, 'market_cap_usd': 1853631926436.6948, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 21:21:47', 'price_usd': 93238, 'market_cap_usd': 1851357695039.313, 'price_change_pct': 3e-05}
Appended row: {'timestamp': '2025-04-23 21:22:48', 'price_usd': 93226, 'market_cap_usd': 1851357695039.313, 'price_change_pct': -0.00013}
Appended row: {'timestamp': '2025-04-23 21:23:49', 'price_usd': 93210, 'market_cap_usd': 1851357695039.313, 'price_change_pct': -0.00017}
Appended row: {'timestamp': '2025-04-23 21:24:49', 'price_usd': 93210, 'market_cap_usd': 1851357695039.313, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 21:25:50', 'price_usd': 93197, 'market_cap_usd': 1851357695039.313, 'price_change_pct': -0.00014}
Appended row: {'timestamp': '2025-04-23 21:26:50', 'price_usd': 93190, 'market_cap_usd': 1850462141335.6218, 'price_change_pct': -8e-05}
Appended row: {'timestamp': '2025-04-23 21:27:50', 'price_usd': 93190, 'market_cap_usd': 1850462141335.6218, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 21:28:50', 'price_usd': 93203, 'market_cap_usd': 1850462141335.6218, 'price_change_pct': 0.00014}
Appended row: {'timestamp': '2025-04-23 21:29:51', 'price_usd': 93222, 'market_cap_usd': 1850568927139.3962, 'price_change_pct': 0.0002}
Appended row: {'timestamp': '2025-04-23 21:30:51', 'price_usd': 93222, 'market_cap_usd': 1850568927139.3962, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 21:31:51', 'price_usd': 93247, 'market_cap_usd': 1850568927139.3962, 'price_change_pct': 0.00027}
Appended row: {'timestamp': '2025-04-23 21:32:52', 'price_usd': 93264, 'market_cap_usd': 1851777519933.3384, 'price_change_pct': 0.00018}
Appended row: {'timestamp': '2025-04-23 21:33:52', 'price_usd': 93264, 'market_cap_usd': 1851777519933.3384, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 21:34:52', 'price_usd': 93292, 'market_cap_usd': 1851777519933.3384, 'price_change_pct': 0.0003}
Appended row: {'timestamp': '2025-04-23 21:35:53', 'price_usd': 93294, 'market_cap_usd': 1851777519933.3384, 'price_change_pct': 2e-05}
Appended row: {'timestamp': '2025-04-23 21:36:53', 'price_usd': 93294, 'market_cap_usd': 1851777519933.3384, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 21:37:53', 'price_usd': 93305, 'market_cap_usd': 1852424775396.8372, 'price_change_pct': 0.00012}
Appended row: {'timestamp': '2025-04-23 21:38:53', 'price_usd': 93307, 'market_cap_usd': 1852424775396.8372, 'price_change_pct': 2e-05}
Appended row: {'timestamp': '2025-04-23 21:39:54', 'price_usd': 93330, 'market_cap_usd': 1852424775396.8372, 'price_change_pct': 0.00025}
Appended row: {'timestamp': '2025-04-23 21:40:54', 'price_usd': 93330, 'market_cap_usd': 1852424775396.8372, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 21:41:54', 'price_usd': 93354, 'market_cap_usd': 1853001451847.252, 'price_change_pct': 0.00026}
Appended row: {'timestamp': '2025-04-23 21:42:55', 'price_usd': 93353, 'market_cap_usd': 1853001451847.252, 'price_change_pct': -1e-05}
Appended row: {'timestamp': '2025-04-23 21:43:55', 'price_usd': 93365, 'market_cap_usd': 1853001451847.252, 'price_change_pct': 0.00013}
Appended row: {'timestamp': '2025-04-23 21:44:55', 'price_usd': 93365, 'market_cap_usd': 1853001451847.252, 'price_change_pct': 0.0}
