timestamp,price_usd,market_cap_usd,price_change_pct
2025-04-23 19:43:01,93664,1860323919027.559,-0.00022
2025-04-23 19:43:16,93664,1860323919027.559,-0.00022
2025-04-23 19:44:01,93664,1860323919027.559,0.0
2025-04-23 19:44:17,93651,1860323919027.559,-0.00014
2025-04-23 19:45:02,93651,1860323919027.559,-0.00014
2025-04-23 19:45:17,93651,1860323919027.559,0.0
2025-04-23 19:46:02,93642,1859331746504.4622,-0.0001
2025-04-23 19:46:17,93642,1859331746504.4622,-0.0001
2025-04-23 19:47:02,93642,1859331746504.4622,0.0
2025-04-23 19:47:17,93641,1859331746504.4622,-1e-05
2025-04-23 19:48:03,93641,1859331746504.4622,-1e-05
2025-04-23 19:48:18,93642,1859331746504.4622,1e-05
2025-04-23 19:49:03,93642,1859331746504.4622,1e-05
2025-04-23 19:49:18,93642,1859331746504.4622,0.0
2025-04-23 19:50:03,93621,1859233398364.266,-0.00022
2025-04-23 19:50:18,93621,1859233398364.266,-0.00022
2025-04-23 19:51:03,93621,1859233398364.266,0.0
2025-04-23 19:51:19,93618,1859233398364.266,-3e-05
2025-04-23 19:52:04,93618,1859233398364.266,-3e-05
2025-04-23 19:52:19,93618,1859233398364.266,0.0
2025-04-23 19:53:04,93614,1859233398364.266,-4e-05
2025-04-23 19:53:19,93614,1859233398364.266,-4e-05
2025-04-23 19:54:04,93614,1859233398364.266,0.0
2025-04-23 19:54:20,93606,1858660302322.256,-9e-05
2025-04-23 19:55:05,93606,1858660302322.256,-9e-05
2025-04-23 19:55:20,93606,1858660302322.256,0.0
2025-04-23 19:56:05,93605,1858660302322.256,-1e-05
2025-04-23 19:56:20,93605,1858660302322.256,-1e-05
2025-04-23 19:57:05,93605,1858660302322.256,0.0
2025-04-23 19:57:20,93618,1858643268245.5742,0.00014
2025-04-23 19:58:06,93618,1858643268245.5742,0.00014
2025-04-23 19:58:21,93628,1858643268245.5742,0.00011
2025-04-23 19:59:06,93628,1858643268245.5742,0.00011
2025-04-23 19:59:21,93628,1858643268245.5742,0.0
2025-04-23 20:00:06,93675,1858643268245.5742,0.0005
2025-04-23 20:00:22,93675,1858643268245.5742,0.0005
2025-04-23 20:01:06,93675,1858643268245.5742,0.0
2025-04-23 20:01:22,93691,1860131775120.3352,0.00017
2025-04-23 20:02:07,93691,1860131775120.3352,0.00017
2025-04-23 20:02:24,93696,1860131775120.3352,5e-05
2025-04-23 20:03:07,93696,1860131775120.3352,5e-05
2025-04-23 20:03:24,93710,1860131775120.3352,0.00015
2025-04-23 20:04:07,93710,1860131775120.3352,0.00015
2025-04-23 20:04:24,93710,1860131775120.3352,0.0
2025-04-23 20:05:07,93717,1860131775120.3352,7e-05
2025-04-23 20:05:25,93717,1860131775120.3352,7e-05
2025-04-23 20:06:08,93674,1860131775120.3352,-0.00046
2025-04-23 20:06:25,93674,1860131775120.3352,-0.00046
2025-04-23 20:07:09,93656,1860131775120.3352,-0.00019
2025-04-23 20:07:25,93656,1860131775120.3352,-0.00019
2025-04-23 20:08:09,93656,1860131775120.3352,0.0
2025-04-23 20:08:25,93644,1860131775120.3352,-0.00013
2025-04-23 20:09:09,93644,1860131775120.3352,-0.00013
2025-04-23 20:09:26,93641,1860131775120.3352,-3e-05
2025-04-23 20:10:09,93641,1860131775120.3352,-3e-05
2025-04-23 20:10:26,93641,1860131775120.3352,0.0
2025-04-23 20:11:10,93626,1860131775120.3352,-0.00016
2025-04-23 20:11:26,93626,1860131775120.3352,-0.00016
2025-04-23 20:12:10,93626,1860131775120.3352,0.0
2025-04-23 20:12:26,93597,1860131775120.3352,-0.00031
2025-04-23 20:13:11,93597,1860131775120.3352,-0.00031
2025-04-23 20:13:27,93584,1858147390145.4116,-0.00014
2025-04-23 20:14:11,93584,1858147390145.4116,-0.00014
2025-04-23 20:14:27,93584,1858147390145.4116,0.0
2025-04-23 20:15:12,93551,1858147390145.4116,-0.00035
2025-04-23 20:15:27,93551,1858147390145.4116,-0.00035
2025-04-23 20:16:12,93538,1858147390145.4116,-0.00014
2025-04-23 20:16:28,93538,1858147390145.4116,-0.00014
2025-04-23 20:17:12,93538,1858147390145.4116,0.0
2025-04-23 20:17:28,93524,1858147390145.4116,-0.00015
2025-04-23 20:18:12,93524,1858147390145.4116,-0.00015
2025-04-23 20:18:28,93524,1858147390145.4116,0.0
2025-04-23 20:19:13,93530,1856939713831.6213,6e-05
2025-04-23 20:19:29,93530,1856939713831.6213,6e-05
2025-04-23 20:20:13,93530,1856939713831.6213,0.0
2025-04-23 20:20:29,93541,1856939713831.6213,0.00012
2025-04-23 20:21:13,93541,1856939713831.6213,0.00012
2025-04-23 20:21:29,93541,1856939713831.6213,0.0
2025-04-23 20:22:14,93561,1857410902950.2837,0.00021
2025-04-23 20:22:29,93561,1857410902950.2837,0.00021
2025-04-23 20:23:14,93561,1857410902950.2837,0.0
2025-04-23 20:23:30,93586,1857410902950.2837,0.00027
2025-04-23 20:24:14,93586,1857410902950.2837,0.00027
2025-04-23 20:24:30,93586,1857410902950.2837,0.0
2025-04-23 20:25:14,93568,1857845638911.334,-0.00019
2025-04-23 20:25:30,93568,1857845638911.334,-0.00019
2025-04-23 20:26:15,93509,1857845638911.334,-0.00063
2025-04-23 20:26:30,93509,1857845638911.334,-0.00063
2025-04-23 20:27:15,93509,1857845638911.334,0.0
2025-04-23 20:27:31,93476,1857845638911.334,-0.00035
