timestamp,open,high,price_validation,hourly_volatility,low,close,price_change,volume
2025-05-12T03:58:56,104088.8,104122.8,Valid,166,103956.9,104050.7,-38,5.52565371
2025-05-12T04:16,104050.8,104169.6,Valid,353,103816.6,103887.5,-163,12.22590611
2025-05-12T04:30:56,103887.6,103995.6,Valid,154,103841.5,103967.9,80,9.15355308
2025-05-12T04:45:52,103967.9,104101.8,Valid,197,103905.3,104061.8,94,9.93507744
2025-05-12T05:00:48,104061.9,104061.9,Valid,201,103860.6,103917.4,-144,6.1898957
2025-05-12T05:15:44,103917.4,103945.7,Valid,169,103777.2,103797.4,-120,8.31985627
2025-05-12T05:30:40,103797.5,103967,Valid,217,103750,103967,170,8.86595132
2025-05-12T05:45:36,103966.9,104000,Valid,151,103849.4,103946.4,-20,6.67330514
2025-05-12T06:00:32,103946.5,103999.9,Valid,175,103825.4,103946.8,0,12.165506
2025-05-12T06:15:28,103946.7,104219.6,Valid,422,103798.1,104200,253,10.75976389
2025-05-12T06:30:24,104200,104371.6,Valid,199,104172.9,104337.7,138,13.05305655
2025-05-12T06:45:20,104337.8,104406.3,Valid,132,104274.7,104368.4,31,19.69695669
2025-05-12T07:00:16,104368.5,105800,Valid,1432,104368.5,105592.1,1224,185.49514468
2025-05-12T07:15:12,105592.2,105740.6,Valid,510,105230.6,105437.7,-154,72.66623986
2025-05-12T07:30:08,105440.9,105681.6,Valid,1024,104657.8,104728.7,-712,95.76822139
2025-05-12T07:45:04,104728.7,104742.8,Valid,591,104151.9,104467.9,-261,58.24305505
2025-05-12T08:00,104472.7,104526.5,Valid,452,104074.3,104288.8,-184,53.48654983
2025-05-12T08:14:56,104288.9,104427.7,Valid,296,104131.9,104289.6,1,28.3475632
2025-05-12T08:29:52,104289.9,104521.9,Valid,304,104218.4,104514.3,224,23.62386509
2025-05-12T08:44:48,104514.2,104729.7,Valid,238,104491.7,104605.6,91,20.79344903
2025-05-12T08:59:44,104605.6,104667.6,Valid,268,104400,104407.2,-198,21.63341352
2025-05-12T09:14:40,104407.3,104540,Valid,175,104365,104514.8,108,20.4157022
2025-05-12T09:29:36,104513.2,104541.1,Valid,162,104379.6,104524.6,11,19.34408711
2025-05-12T09:44:32,104519.6,104523.7,Valid,156,104368.2,104457.2,-62,11.84595382
