time,price,date,datetime
28:04.0,102162,5/15/25,42:49.1
29:04.6,102180,5/15/25,43:49.1
30:04.4,102196,5/15/25,44:49.1
31:04.3,102202,5/15/25,45:49.1
32:04.0,102203,5/15/25,46:49.1
33:04.4,102211,5/15/25,47:49.1
34:04.1,102224,5/15/25,48:49.1
35:04.5,102259,5/15/25,49:49.1
36:04.0,102272,5/15/25,50:49.1
37:04.6,102245,5/15/25,51:49.1
38:04.0,102245,5/15/25,52:49.1
39:04.6,102229,5/15/25,53:49.1
40:04.0,102225,5/15/25,54:49.1
41:04.5,102225,5/15/25,55:49.1
42:04.1,102231,5/15/25,56:49.1
43:04.6,102232,5/15/25,57:49.1
44:04.2,102236,5/15/25,58:49.1
45:03.6,102236,5/15/25,59:49.1
46:04.3,102237,5/15/25,00:49.1
47:04.0,102234,5/15/25,01:49.1
48:04.4,102234,5/15/25,02:49.1
49:04.2,102234,5/15/25,03:49.1
50:03.9,102246,5/15/25,04:49.1
51:04.5,102252,5/15/25,05:49.1
52:04.0,102252,5/15/25,06:49.1
53:04.6,102265,5/15/25,07:49.1
54:04.2,102264,5/15/25,08:49.1
55:03.6,102264,5/15/25,09:49.1
56:04.3,102255,5/15/25,10:49.1
57:03.7,102253,5/15/25,11:49.1
58:04.3,102257,5/15/25,12:49.1
59:03.9,102267,5/15/25,13:49.1
00:04.5,102272,5/15/25,14:49.1
01:03.9,102283,5/15/25,15:49.1
02:04.3,102287,5/15/25,16:49.1
03:03.7,102287,5/15/25,17:49.1
04:04.7,102287,5/15/25,18:49.1
05:04.1,102296,5/15/25,19:49.1
06:04.5,102301,5/15/25,20:49.1
07:04.0,102304,5/15/25,21:49.1
08:04.4,102312,5/15/25,22:49.1
09:04.0,102313,5/15/25,23:49.1
10:04.7,102307,5/15/25,24:49.1
11:04.1,102296,5/15/25,25:49.1
12:03.6,102295,5/15/25,26:49.1
13:04.1,102324,5/15/25,27:49.1
14:03.6,102324,5/15/25,28:49.1
15:04.0,102326,5/15/25,29:49.1
16:04.5,102323,5/15/25,30:49.1
17:04.2,102314,5/15/25,31:49.1
18:03.7,102314,5/15/25,32:49.1
19:04.3,102320,5/15/25,33:49.1
20:03.7,102335,5/15/25,34:49.1
21:04.3,102335,5/15/25,35:49.1
22:03.8,102355,5/15/25,36:49.1
23:04.4,102355,5/15/25,37:49.1
24:04.0,102375,5/15/25,38:49.1
25:04.7,102375,5/15/25,39:49.1
26:04.4,102391,5/15/25,40:49.1
27:03.9,102391,5/15/25,41:49.1
28:04.8,102442,5/15/25,42:49.1
29:04.3,102461,5/15/25,43:49.1
30:03.8,102467,5/15/25,44:49.1
31:04.5,102467,5/15/25,45:49.1
32:03.9,102493,5/15/25,46:49.1
33:04.3,102499,5/15/25,47:49.1
34:03.9,102499,5/15/25,48:49.1
35:04.3,102593,5/15/25,49:49.1
36:04.0,102570,5/15/25,50:49.1
37:04.4,102585,5/15/25,51:49.1
38:04.0,102588,5/15/25,52:49.1
39:04.7,102588,5/15/25,53:49.1
40:04.3,102611,5/15/25,54:49.1
41:03.9,102624,5/15/25,55:49.1
42:04.3,102643,5/15/25,56:49.1
43:03.9,102641,5/15/25,57:49.1
44:04.4,102655,5/15/25,58:49.1
45:03.9,102655,5/15/25,59:49.1
46:04.3,102655,5/15/25,00:49.1
47:03.9,102679,5/15/25,01:49.1
48:04.3,102679,5/15/25,02:49.1
49:04.3,102669,5/15/25,03:49.1
50:03.8,102667,5/15/25,04:49.1
51:04.3,102662,5/15/25,05:49.1
52:03.8,102651,5/15/25,06:49.1
53:04.3,102645,5/15/25,07:49.1
54:03.7,102649,5/15/25,08:49.1
