ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,moving_avg_price,volatility_15m
2025-04-23 19:54:04,123387.90731059114,93600.60112810934,93699.83627740544,123387.90731059114,123387.90731059114,-29735.716952719842,-29735.716952719842,-29735.716952719842,-29735.716952719842,-29735.716952719842,-29735.716952719842,0.0,0.0,0.0,93652.1903578713,93654.91893793539,4.062132113782146
2025-04-23 19:54:20,123385.23886711967,93602.67831495251,93697.52035920315,123385.23886711967,123385.23886711967,-29733.483652826773,-29733.483652826773,-29733.483652826773,-29733.483652826773,-29733.483652826773,-29733.483652826773,0.0,0.0,0.0,93651.75521429289,93654.11818625216,4.021388772342086
2025-04-23 19:55:05,123377.73386985621,93601.1079261783,93697.73491618065,123377.73386985621,123377.73386985621,-29727.18185206201,-29727.18185206201,-29727.18185206201,-29727.18185206201,-29727.18185206201,-29727.18185206201,0.0,0.0,0.0,93650.5520177942,93653.21329248163,3.9645881435119685
2025-04-23 19:55:20,123375.5112469554,93598.13057874492,93701.33192724748,123375.5112469554,123375.5112469554,-29725.074319500185,-29725.074319500185,-29725.074319500185,-29725.074319500185,-29725.074319500185,-29725.074319500185,0.0,0.0,0.0,93650.43692745522,93652.48004754652,3.8933116353108876
2025-04-23 19:56:05,123368.84337825302,93600.78749524296,93701.80620687953,123368.84337825302,123368.84337825302,-29718.730262317615,-29718.730262317615,-29718.730262317615,-29718.730262317615,-29718.730262317615,-29718.730262317615,0.0,0.0,0.0,93650.11311593541,93651.7624178048,3.7221735002088576
2025-04-23 19:56:20,123366.62075535223,93599.1829430761,93697.54003650649,123366.62075535223,123366.62075535223,-29716.608264202518,-29716.608264202518,-29716.608264202518,-29716.608264202518,-29716.608264202518,-29716.608264202518,0.0,0.0,0.0,93650.01249114971,93651.2134686285,3.5573639797036973
2025-04-23 19:57:05,123359.95288664981,93602.07304425685,93700.21204663589,123359.95288664981,123359.95288664981,-29710.219678373964,-29710.219678373964,-29710.219678373964,-29710.219678373964,-29710.219678373964,-29710.219678373964,0.0,0.0,0.0,93649.73320827585,93650.68476182493,3.3056137099060536
2025-04-23 19:57:20,123357.73026374902,93598.15741215325,93700.7170084294,123357.73026374902,123357.73026374902,-29708.082463434417,-29708.082463434417,-29708.082463434417,-29708.082463434417,-29708.082463434417,-29708.082463434417,0.0,0.0,0.0,93649.6478003146,93650.32153931684,3.0791869947398807
2025-04-23 19:58:06,123350.91422018659,93598.49597980552,93698.908524929,123350.91422018659,123350.91422018659,-29701.503697093885,-29701.503697093885,-29701.503697093885,-29701.503697093885,-29701.503697093885,-29701.503697093885,0.0,0.0,0.0,93649.41052309271,93649.9865834311,2.774066968645587
2025-04-23 19:58:21,123348.69159728578,93601.76337591518,93699.92139615619,123348.69159728578,123348.69159728578,-29699.350254031287,-29699.350254031287,-29699.350254031287,-29699.350254031287,-29699.350254031287,-29699.350254031287,0.0,0.0,0.0,93649.34134325449,93649.81362992544,2.5113824497711104
